ID,Country,Year,State/Region,City,Type of E-Waste,Brand Name,Model Name,Device Age (Years),Condition,Material Type,Weight (kg),Hazardous Components,Collection Method,Recycling Facility,Recycling Status,Recycling Method,Reused or Refurbished?,Environmental Impact Score,CO2 Emission (kg)
EW_00001,India,2024,Maharashtra,Delhi,Television,Samsung,Samsung 3646,3,Working,Mixed,11.49,Cadmium,Pick-up service,GreenTech Recycle,Disposed,Chemical,Yes,Medium,45.96
EW_00002,China,2020,Zhejiang,Shenzhen,E-reader,Panasonic,Panasonic 6931,3,Obsolete,Glass,0.38,Mercury,Pick-up service,Green Earth Recycling,Recycled,Mechanical,Yes,Low,0.84
EW_00003,Brazil,2024,ParanÃ¡,Belo Horizonte,Smart Door Sensor,Amazon,Amazon 7616,4,Repairable,Mixed,0.19,Mercury,Municipal collection,EcoTech Recycling,In Progress,Hydrometallurgical,Yes,Low,0.38
EW_00004,Japan,2021,Fukuoka,Yokohama,GPS Device,MSI,MSI 7794,7,Damaged,Ceramic,0.41,None,Pick-up service,EcoRecyclers Inc.,Recycled,Thermal,Yes,Medium,1.23
EW_00005,India,2021,Karnataka,Mumbai,Smart Oven,Acer,Acer 4326,3,Non-working,Glass,37.09,Brominated Flame Retardants,Pick-up service,Global Recycling Solutions,In Progress,Chemical,No,Medium,89.02
EW_00006,India,2022,Maharashtra,Kolkata,Scanner,Toshiba,Toshiba 9897,5,Damaged,Rubber,2.23,Lead,Drop-off center,Global Recycling Solutions,Pending,Pyrometallurgical,Yes,Medium,6.69
EW_00007,Australia,2024,Victoria,Melbourne,Desktop Computer,Razer,Razer 3093,6,Working,Ceramic,6.73,Lead,Drop-off center,Global Recycling Solutions,In Progress,Pyrometallurgical,No,Medium,26.92
EW_00008,Australia,2023,Victoria,Sydney,GPS Device,Motorola,Motorola 7359,5,Non-working,Ceramic,0.48,Cadmium,Pick-up service,Sustainable Materials Recovery,Disposed,Hydrometallurgical,Yes,Low,1.15
EW_00009,Australia,2020,Victoria,Melbourne,USB Drive,Dell,Dell 4896,9,Non-working,Metal,0.09,Cadmium,Retail take-back,Sustainable Electronics,In Progress,Pyrometallurgical,No,Low,0.22
EW_00010,Canada,2023,Manitoba,Toronto,Smart Light Bulb,Fujitsu,Fujitsu 6738,6,Working,Plastic,0.11,Cadmium,Retail take-back,Sustainable Materials Recovery,Disposed,Thermal,No,Low,0.22
EW_00011,UK,2021,London,London,Desktop Computer,Apple,Apple 3252,7,Non-working,Glass,6.42,Brominated Flame Retardants,Municipal collection,GreenTech Recycle,Disposed,Pyrometallurgical,No,High,30.82
EW_00012,China,2020,Shanghai,Guangzhou,Smart Scale,Gateway,Gateway 4312,9,Repairable,Plastic,0.47,Brominated Flame Retardants,Municipal collection,GreenTech Recycle,In Progress,Hydrometallurgical,Yes,Low,0.94
EW_00013,Australia,2023,Western Australia,Brisbane,CD/DVD Player,Sony,Sony 3776,9,Obsolete,Rubber,1.87,Mercury,Drop-off center,EcoTech Recycling,Disposed,Mechanical,Yes,Low,4.11
EW_00014,Canada,2022,British Columbia,Montreal,Smart Garage Door Opener,BlackBerry,BlackBerry 2459,7,Obsolete,Glass,0.7,Brominated Flame Retardants,Drop-off center,EcoTech Recycling,Disposed,Chemical,No,Low,1.54
EW_00015,Australia,2021,New South Wales,Melbourne,Projector,MSI,MSI 7562,2,Damaged,Plastic,3.85,Mercury,Municipal collection,Sustainable Waste Management,Disposed,Mechanical,Yes,Medium,11.55
EW_00016,Germany,2020,Hesse,Frankfurt,Tablet,Motorola,Motorola 4727,4,Non-working,Plastic,0.66,Brominated Flame Retardants,Municipal collection,Sustainable Materials Recovery,Disposed,Hydrometallurgical,Yes,Medium,2.38
EW_00017,Germany,2022,Hamburg,Cologne,E-reader,Vivo,Vivo 5528,10,Damaged,Plastic,0.4,Brominated Flame Retardants,Pick-up service,Global Recycling Solutions,Disposed,Mechanical,No,Medium,1.2
EW_00018,Japan,2024,Tokyo,Osaka,Smartwatch,Nokia,Nokia 9139,9,Repairable,Mixed,0.11,None,Retail take-back,GreenTech Recycle,Disposed,Thermal,Yes,Low,0.22
EW_00019,Brazil,2022,Minas Gerais,Rio de Janeiro,Smart Sprinkler Controller,MSI,MSI 5406,4,Non-working,Ceramic,0.44,Lead,Retail take-back,Eco-Friendly Disposal,Pending,Pyrometallurgical,No,Low,1.06
EW_00020,Japan,2023,Fukuoka,Osaka,Camera,Apple,Apple 4422,2,Obsolete,Ceramic,1.07,Lead,Pick-up service,Global Recycling Solutions,Disposed,Hydrometallurgical,Yes,Low,2.35
EW_00021,Australia,2024,New South Wales,Sydney,Game Console,Motorola,Motorola 9611,1,Working,Metal,1.31,Lead,Drop-off center,Sustainable Materials Recovery,Recycled,Hydrometallurgical,No,Low,2.62
EW_00022,Australia,2021,Victoria,Melbourne,Smart Oven,HTC,HTC 1790,10,Working,Glass,22.08,None,Drop-off center,GreenTech Recycle,Recycled,Mechanical,Yes,Low,44.16
EW_00023,USA,2024,New York,Los Angeles,Router,Nokia,Nokia 9112,1,Damaged,Metal,0.32,None,Retail take-back,Eco-Friendly Disposal,Recycled,Mechanical,No,Medium,0.96
EW_00024,UK,2021,Birmingham,London,Smart Sprinkler Controller,Google,Google 6500,8,Non-working,Mixed,0.58,Brominated Flame Retardants,Pick-up service,Sustainable Materials Recovery,Pending,Mechanical,No,Low,1.39
EW_00025,UK,2022,Manchester,London,Smart Lock,LG,LG 7643,3,Non-working,Glass,0.52,Brominated Flame Retardants,Drop-off center,Global Recycling Solutions,Pending,Chemical,Yes,Low,1.25
EW_00026,Germany,2022,Hesse,Munich,Mobile Phone,HP,HP 9768,10,Working,Mixed,0.11,Lead,Pick-up service,Green Earth Recycling,Recycled,Thermal,No,Low,0.33
EW_00027,Brazil,2020,ParanÃ¡,Rio de Janeiro,Smart Oven,Asus,Asus 1185,8,Working,Plastic,36.74,Lead,Municipal collection,Sustainable Materials Recovery,Disposed,Hydrometallurgical,Yes,Low,73.48
EW_00028,India,2024,Delhi,Mumbai,MP3 Player,Apple,Apple 4478,4,Non-working,Metal,0.14,Mercury,Drop-off center,Global Recycling Solutions,Pending,Thermal,Yes,Low,0.34
EW_00029,Brazil,2021,ParanÃ¡,Curitiba,Smart Coffee Maker,Dell,Dell 5113,3,Repairable,Mixed,1.36,Lead,Pick-up service,Sustainable Materials Recovery,Recycled,Thermal,Yes,Low,2.72
EW_00030,Japan,2023,Hokkaido,Yokohama,Laptop,Gateway,Gateway 9477,2,Obsolete,Plastic,1.86,Lead,Retail take-back,EcoRecyclers Inc.,Disposed,Chemical,Yes,Low,6.14
EW_00031,USA,2023,Texas,Phoenix,Smart Window Blinds,Toshiba,Toshiba 7106,6,Repairable,Metal,0.57,Lead,Pick-up service,Sustainable Materials Recovery,Pending,Hydrometallurgical,Yes,Low,1.14
EW_00032,India,2023,Delhi,Delhi,VR Headset,Lenovo,Lenovo 7169,2,Repairable,Metal,0.79,Cadmium,Municipal collection,Sustainable Materials Recovery,Disposed,Pyrometallurgical,No,Low,1.58
EW_00033,Japan,2023,Fukuoka,Sapporo,Power Bank,Sony,Sony 4915,1,Non-working,Plastic,0.26,Mercury,Retail take-back,Global Recycling Solutions,In Progress,Pyrometallurgical,Yes,Low,0.62
